login,date,equity,balance,ts
97063065,877533951,0,0,0
97063065,877535117,0,0,0
97063065,877539356,0,0,0
97063065,877559606,0,0,0
97063065,877600531,0,0,0
97063065,877605486,0,0,0
97063065,877606894,0,0,0
97063065,877611670,0,0,0
97063065,877768049,0,0,0
97063065,877778663,0,0,0
97063065,877782732,0,0,0
97063065,877783517,0,0,0
97063065,877803019,0,0,0
97063065,877803363,0,0,0
97063065,877809275,0,0,0
97063065,877846811,0,0,0
97063065,877852535,0,0,0
97063065,877861766,0,0,0
97063065,877872255,0,0,0
97063065,877886289,0,0,0
97063065,877887951,0,0,0
97063065,877897446,0,0,0
97063065,877908775,0,0,0
97063065,877935607,0,0,0
97063065,877951014,0,0,0
97063065,877985415,0,0,0
97063065,877989370,0,0,0
97063065,877998326,0,0,0
97063065,878000946,0,0,0
97063065,878007434,0,0,0
97063065,878010939,0,0,0
97063065,878018330,0,0,0
97063065,878320031,0,0,0
97063065,878348395,0,0,0
97063065,878348857,0,0,0
97063065,878363715,0,0,0
97063065,878367623,0,0,0
97063065,878370940,0,0,0
97063065,878372233,0,0,0
97063065,878376706,0,0,0
97063065,878411529,0,0,0
97063065,878431938,0,0,0
97063065,878442714,0,0,0
97063065,878444120,0,0,0
97063065,878445926,0,0,0
97063065,878449134,0,0,0
97063065,878449215,0,0,0
97063065,878453160,0,0,0
97063065,878458513,0,0,0
97063065,878465396,0,0,0
97063065,878465888,0,0,0
97063065,878472627,0,0,0
97063065,878480712,0,0,0
97063065,878483744,0,0,0
97063065,878491102,0,0,0
97063065,878493232,0,0,0
97063065,878494758,0,0,0
97063065,878500096,0,0,0
97063065,878500854,0,0,0
97063065,878508942,0,0,0
97063065,878513824,0,0,0
97063065,878514654,0,0,0
97063065,878522556,0,0,0
97063065,878527726,0,0,0
97063065,878534949,0,0,0
97063065,878562419,0,0,0
97063065,878566697,0,0,0
97063065,878569062,0,0,0
97063065,878624608,0,0,0
97063065,878635223,0,0,0
97063065,878656041,0,0,0
97063065,878660107,0,0,0
97063065,878682825,0,0,0
97063065,878692858,0,0,0
97063065,878700395,0,0,0
97063065,878704308,0,0,0
97063065,878706565,0,0,0
97063065,878738147,0,0,0
97063065,878755150,0,0,0
97063065,878855348,0,0,0
97063065,878878129,0,0,0
97063065,878881656,0,0,0
97063065,878882828,0,0,0
97063065,878882896,0,0,0
97063065,878890011,0,0,0
97063065,878908876,0,0,0
97063065,878924478,0,0,0
97063065,878952239,0,0,0
97063065,878988523,0,0,0
97063065,878989479,0,0,0
97063065,878989516,0,0,0
97063065,878997130,0,0,0
97063065,879007941,0,0,0
97063065,879008234,0,0,0
97063065,879013537,0,0,0
97063065,879050024,0,0,0
97063065,879050190,0,0,0
97063065,879075422,0,0,0
97063065,879076197,0,0,0
97063065,879076258,0,0,0
97063065,879085525,0,0,0
97063065,879093804,0,0,0
97063065,879093991,0,0,0
97063065,879113830,0,0,0
97063065,879122492,0,0,0
97063065,879123824,0,0,0
97063065,879123871,0,0,0
97063065,879125735,0,0,0
97063065,879590648,0,0,0
97063065,879591588,0,0,0
97063065,879593077,0,0,0
97063065,879593360,0,0,0
97063065,879601081,0,0,0
97063065,879612234,0,0,0
97063065,879614859,0,0,0
97063065,879629481,0,0,0
97063065,879653752,0,0,0
97063065,879654162,0,0,0
97063065,879662444,0,0,0
97063065,879665121,0,0,0
97063065,879668377,0,0,0
97063065,879668695,0,0,0
97063065,879691440,0,0,0
97063065,879693634,0,0,0
97063065,879693824,0,0,0
97063065,879699080,0,0,0
97063065,879718497,0,0,0
97063065,879727004,0,0,0
97063065,879728154,0,0,0
97063065,879731960,0,0,0
97063065,879769670,0,0,0
97063065,879770993,0,0,0
97063065,879788695,0,0,0
97063065,879790112,0,0,0
97063065,879796003,0,0,0
97063065,879796619,0,0,0
97063065,879799682,0,0,0
97063065,879799911,0,0,0
97063065,879801231,0,0,0
97063065,879840910,0,0,0
97063065,879841052,0,0,0
97063065,879842812,0,0,0
97063065,879852416,0,0,0
97063065,879854155,0,0,0
97063065,879957248,0,0,0
97063065,879969021,0,0,0
97063065,879969088,0,0,0
97063065,879988487,0,0,0
97063065,879988958,0,0,0
97063065,879992957,0,0,0
97063065,879993375,0,0,0
97063065,879998603,0,0,0
97063065,880005475,0,0,0
97063065,880006509,0,0,0
97063065,880007326,0,0,0
97063065,880019080,0,0,0
97063065,880022276,0,0,0
97063065,880029324,0,0,0
97063065,880045990,0,0,0
97063065,880049332,0,0,0
97063065,880058052,0,0,0
97063065,880178749,0,0,0
97063065,880180472,0,0,0
97063065,880189641,0,0,0
97063065,880201361,0,0,0
97063065,880201682,0,0,0
97063065,880224106,0,0,0
97063065,880242148,0,0,0
97063065,880247201,0,0,0
97063065,880249380,0,0,0
97063065,880250278,0,0,0
97063065,880255348,0,0,0
97063065,880261097,0,0,0
97063065,880261570,0,0,0
97063065,880269165,0,0,0
97063065,880273971,0,0,0
97063065,880281322,0,0,0
97063065,880324217,0,0,0
97063065,880442777,0,0,0
97063065,880468149,0,0,0
97063065,880468531,0,0,0
97063065,880480795,0,0,0
97063065,880493796,0,0,0
97063065,880541932,0,0,0
97063065,880568254,0,0,0
97063065,880575942,0,0,0
97063065,880578754,0,0,0
97063065,880578814,0,0,0
97063065,880588100,0,0,0
97063065,880611037,0,0,0
97063065,880616068,0,0,0
97063065,880664480,0,0,0
97063065,880671568,0,0,0
97063065,880671631,0,0,0
97063065,880691734,0,0,0
97063065,880749408,0,0,0
97063065,880867032,0,0,0
97063065,880899729,0,0,0
97063065,880937762,0,0,0
97063065,880939157,0,0,0
97063065,880940830,0,0,0
97063065,880949719,0,0,0
97063065,880949900,0,0,0
97063065,880953697,0,0,0
97063065,880993277,0,0,0
97063065,880994581,0,0,0
97063065,881050552,0,0,0
97063065,881082428,0,0,0
97063065,881082547,0,0,0
97063065,881094714,0,0,0
97063065,881106783,0,0,0
97063065,881108333,0,0,0
97063065,881115342,0,0,0
97063065,881115663,0,0,0
97063065,881122396,0,0,0
97063065,881129249,0,0,0
97063065,881139779,0,0,0
97063065,881172258,0,0,0
97063065,881179003,0,0,0
97063065,881180402,0,0,0
97063065,881180919,0,0,0
97063065,881187491,0,0,0
97063065,881187885,0,0,0
97063065,881190326,0,0,0
97063065,881191192,0,0,0
97063065,881199656,0,0,0
97063065,881201590,0,0,0
97063065,881204024,0,0,0
97063065,881208270,0,0,0
97063065,881211110,0,0,0
97063065,881297873,0,0,0
97063065,881306979,0,0,0
97063065,881361707,0,0,0
97063065,881362622,0,0,0
97063065,881363750,0,0,0
97063065,881371238,0,0,0
97063065,881376815,0,0,0
97063065,881378337,0,0,0
97063065,881386813,0,0,0
97063065,881412745,0,0,0
97063065,881414102,0,0,0
97063065,881414629,0,0,0
97063065,881419654,0,0,0
97063065,881446756,0,0,0
97063065,881455259,0,0,0
97063065,881479846,0,0,0
97063065,881481001,0,0,0
97063065,881481956,0,0,0
97063065,881494534,0,0,0
97063065,881526706,0,0,0
97063065,881566899,0,0,0
97063065,881585760,0,0,0
97063065,881586996,0,0,0
97063065,881587095,0,0,0
97063065,881590306,0,0,0
97063065,881600706,0,0,0
97063065,881600887,0,0,0
97063065,881631925,0,0,0
97063065,881638562,0,0,0
97063065,881651020,0,0,0
97063065,881653445,0,0,0
97063065,881659696,0,0,0
97063065,881663269,0,0,0
97063065,881665558,0,0,0
97063065,881668767,0,0,0
97063065,881671260,0,0,0
97063065,881671610,0,0,0
97063065,881678179,0,0,0
97063065,881709910,0,0,0
97063065,881710783,0,0,0
97063065,881710944,0,0,0
97063065,881722889,0,0,0
97063065,882027763,0,0,0
97063065,882030451,0,0,0
97063065,882030722,0,0,0
97063065,882057986,0,0,0
97063065,882061417,0,0,0
97063065,882062444,0,0,0
97063065,882062658,0,0,0
97063065,882068154,0,0,0
97063065,882068554,0,0,0
97063065,882071460,0,0,0
97063065,882094337,0,0,0
97063065,882103381,0,0,0
97063065,882104166,0,0,0
97063065,882106182,0,0,0
97063065,882110429,0,0,0
97063065,882113111,0,0,0
97063065,882116377,0,0,0
97063065,882117710,0,0,0
97063065,882123900,0,0,0
97063065,882125122,0,0,0
97063065,882132294,0,0,0
97063065,882136631,0,0,0
97063065,882138111,0,0,0
97063065,882144339,0,0,0
97063065,882314915,0,0,0
97063065,882324224,0,0,0
97063065,882327293,0,0,0
97063065,882332954,0,0,0
97063065,882333863,0,0,0
97063065,882346563,0,0,0
97063065,882379130,0,0,0
97063065,882462483,0,0,0
97063065,882479017,0,0,0
97063065,882481807,0,0,0
97063065,882485427,0,0,0
97063065,882498051,0,0,0
97063065,882504663,0,0,0
97063065,882505966,0,0,0
97063065,882513406,0,0,0
97063065,882627985,0,0,0
97063065,882638328,0,0,0
97063065,882639672,0,0,0
97063065,882640049,0,0,0
97063065,882658576,0,0,0
97063065,882660875,0,0,0
97063065,882666991,0,0,0
97063065,882668902,0,0,0
97063065,882675042,0,0,0
97063065,882676144,0,0,0
97063065,882680727,0,0,0
97063065,882686313,0,0,0
97063065,882689474,0,0,0
97063065,882691796,0,0,0
97063065,882741363,0,0,0
97063065,882743717,0,0,0
97063065,882744190,0,0,0
97063065,882744494,0,0,0
97063065,882744892,0,0,0
97063065,882745733,0,0,0
97063065,882748099,0,0,0
97063065,882748731,0,0,0
97063065,882749901,0,0,0
97063065,882753584,0,0,0
97063065,882754004,0,0,0
97063065,882754282,0,0,0
97063065,882755956,0,0,0
97063065,882758872,0,0,0
97063065,882760148,0,0,0
97063065,882760521,0,0,0
97063065,882760810,0,0,0
97063065,882761090,0,0,0
97063065,882761982,0,0,0
97063065,882762292,0,0,0
97063065,882763653,0,0,0
97063065,882766930,0,0,0
97063065,882767394,0,0,0
97063065,882774683,0,0,0
97063065,882777916,0,0,0
97063065,882780332,0,0,0
97063065,882780380,0,0,0
97063065,882800930,0,0,0
97063065,882821527,0,0,0
97063065,882821968,0,0,0
97063065,882825213,0,0,0
97063065,882829684,0,0,0
97063065,882829816,0,0,0
97063065,882863260,0,0,0
97063065,882946864,0,0,0
97063065,882947048,0,0,0
97063065,882982536,0,0,0
97063065,882988291,0,0,0
97063065,882996091,0,0,0
97063065,883054148,0,0,0
97063065,883137478,0,0,0
97063065,883142075,0,0,0
97063065,883145431,0,0,0
97063065,883145494,0,0,0
97063065,883152776,0,0,0
97063065,883186781,0,0,0
97063065,883187890,0,0,0
97063065,883204408,0,0,0
97063065,883204795,0,0,0
97063065,883218642,0,0,0
97063065,883268034,0,0,0
97063065,883268419,0,0,0
97063065,883353995,0,0,0
97063065,883354044,0,0,0
97063065,883356149,0,0,0
97063065,883377902,0,0,0
97063065,883385671,0,0,0
97063065,883394363,0,0,0
97063065,883395801,0,0,0
97063065,883396667,0,0,0
97063065,883397636,0,0,0
97063065,883400495,0,0,0
97063065,883406237,0,0,0
97063065,883407263,0,0,0
97063065,883412722,0,0,0
97063065,883419689,0,0,0
97063065,883421131,0,0,0
97063065,883472228,0,0,0
97063065,883478142,0,0,0
97063065,883478254,0,0,0
97063065,883488440,0,0,0
97063065,883490045,0,0,0
97063065,883529579,0,0,0
97063065,883531298,0,0,0
97063065,883536864,0,0,0
97063065,883538624,0,0,0
97063065,883539210,0,0,0
97063065,883540569,0,0,0
97063065,883542164,0,0,0
97063065,883544067,0,0,0
97063065,883551611,0,0,0
97063065,883552689,0,0,0
97063065,883558744,0,0,0
97063065,883575213,0,0,0
97063065,883580480,0,0,0
97063065,883584342,0,0,0
97063065,883617856,0,0,0
97063065,883645060,0,0,0
97063065,883648797,0,0,0
97063065,883700617,0,0,0
97063065,883710607,0,0,0
97063065,883719493,0,0,0
97063065,883759739,0,0,0
97063065,883766080,0,0,0
97063065,883770493,0,0,0
97063065,883782988,0,0,0
97063065,883788972,0,0,0
97063065,883824873,0,0,0
97063065,883851174,0,0,0
97063065,883851338,0,0,0
97063065,883851911,0,0,0
97063065,883852178,0,0,0
97063065,883855640,0,0,0
97063065,883864377,0,0,0
97063065,883864904,0,0,0
97063065,883893671,0,0,0
97063065,883898593,0,0,0
97063065,883900443,0,0,0
97063065,883903027,0,0,0
97063065,883905494,0,0,0
97063065,883907840,0,0,0
97063065,883916694,0,0,0
97063065,883919498,0,0,0
97063065,883919882,0,0,0
97063065,883921069,0,0,0
97063065,883922860,0,0,0
97063065,883926206,0,0,0
97063065,883928127,0,0,0
97063065,883929398,0,0,0
97063065,883931167,0,0,0
